I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3478,-6.3478,-6.3478,,,,,,,,,
-6.3421,-6.3421,-6.3421,,,,,,,,,
-6.3215,-6.3215,-6.3215,,,,,,,,,
-6.2952,-6.2952,-6.2952,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2691,-6.2691,-6.2691,,,,,,,,,
-6.2632,-6.2632,-6.2632,,,,,,,,,
-6.2428,-6.2428,-6.2428,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2165,-6.2165,-6.2165,,,,,,,,,
-6.1902,-6.1902,-6.1902,,,,,,,,,
-6.1639,-6.1639,-6.1639,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1377,-6.1377,-6.1377,,,,,,,,,
-6.1316,-6.1316,-6.1316,,,,,,,,,
-6.1114,-6.1114,-6.1114,,,,,,,,,
-6.1053,-6.1053,-6.1053,,,,,,,,,
-6.0851,-6.0851,-6.0851,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.019,-6.019,,,,,,,,,
-6.0789,-6.0599,-6.0599,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.1186,-6.1186,-6.1186,,,,,,,,,
-6.1316,-6.1316,-6.1316,,,,,,,,,
-6.1514,-6.1514,-6.1514,,,,,,,,,
-6.1777,-6.1777,-6.1777,,,,,,,,,
-6.204,-6.204,-6.204,,,,,,,,,
-6.25,-6.25,-6.25,,,,,,,,,
,-6.3224,,-6.3224,-6.3224,-6.3224,,,,,,
,-6.3618,,-6.3618,-6.3618,-6.3618,,,,,,
,-6.3881,,-6.3881,-6.3881,-6.3881,,,,,,
,-6.4144,,-6.4144,-6.4144,-6.4144,,,,,,
,-6.4407,,-6.4407,-6.4407,-6.4407,,,,,,
,-6.5063,,-6.5063,-6.5063,-6.5063,,,,,,
,-6.546,,-6.546,-6.546,-6.546,,,,,,
,-6.5526,,-6.5526,-6.5526,-6.5526,,,,,,
,-6.5722,,-6.5722,-6.5722,-6.5722,,,,,,
,-6.5985,,-6.5985,-6.5985,-6.5985,,,,,,
,-6.6053,,-6.6053,-6.6053,-6.6053,,,,,,
,-6.6053,,-6.6053,-6.6053,-6.6053,,,,,,
,-6.6053,,-6.6053,-6.6053,-6.6053,,,,,,
,-6.6248,,-6.6248,-6.6248,-6.6248,,,,,,
,-6.6316,,-6.6316,-6.6316,-6.6316,,,,,,
,-6.6316,,-6.6316,-6.6316,-6.6316,,,,,,
,-6.651,,-6.651,-6.651,-6.651,,,,,,
,-6.6579,,-6.6579,-6.6579,-6.6579,,,,,,
,-6.6579,,-6.6579,-6.6579,-6.6579,,,,,,
,-6.6579,,-6.6967,-6.6967,-6.6967,,,,,,
,-6.6579,,-6.6717,-6.6717,-6.6717,,,,,,
,-6.6579,,-6.6579,-6.6579,-6.6579,,,,,,
,-6.6579,,-6.6579,-6.6579,-6.6579,,,,,,
,-6.6385,,-6.6385,-6.6385,-6.6385,,,,,,
,-6.6316,,-6.6316,-6.6316,-6.6316,,,,,,
,-6.6123,,-6.6123,-6.6123,-6.6123,,,,,,
,-6.586,,-6.586,-6.586,-6.586,,,,,,
